"title","domain","difficulty","blurb","angles","seed_context","tags"
"Romeo and Juliet","Arts & Culture","Beginner","A tragic play by Shakespeare about young love and family conflict.","[""Why is the story still retold?"",""What themes make it universal?""]","Written in the 1590s, Romeo and Juliet explores love, fate, and tragedy.\nIt has inspired countless adaptations.","shakespeare, play, tragedy"
"Frida Kahlo","Arts & Culture","Beginner","A Mexican painter known for self-portraits and vibrant, symbolic works.","[""Why are Kahlo’s paintings personal?"",""How did she use art to cope with pain?""]","Born in 1907, Kahlo painted about identity, illness, and Mexican culture.\nShe became a feminist icon.","frida kahlo, mexico, painting"
"The Starry Night","Arts & Culture","Beginner","A famous painting by Vincent van Gogh showing a swirling night sky.","[""Why does the painting feel alive?"",""How did Van Gogh use color?""]","Painted in 1889 while Van Gogh was in an asylum.\nIt is celebrated for its bold colors and emotion.","van gogh, starry night, painting"
"Vincent van Gogh","Arts & Culture","Beginner","A Dutch painter known for expressive colors and emotional depth.","[""Why wasn’t Van Gogh famous while alive?"",""How did his art change painting?""]","Van Gogh created over 2,000 artworks.\nHis style influenced modern art profoundly.","van gogh, post-impressionism, painting"
"Claude Monet","Arts & Culture","Beginner","A French painter who founded Impressionism with his light-filled works.","[""Why focus on light and color?"",""How did Monet inspire others?""]","Monet painted water lilies, haystacks, and landscapes.\nHis style emphasized fleeting impressions.","monet, impressionism, france"
"Water Lilies","Arts & Culture","Beginner","A series of paintings by Claude Monet capturing his garden pond.","[""Why paint the same subject repeatedly?"",""How do colors create atmosphere?""]","Monet’s Water Lilies series includes ~250 works.\nThey explore reflection, light, and time.","monet, water lilies, impressionism"
"Pablo Picasso","Arts & Culture","Beginner","A Spanish painter and sculptor who co-founded Cubism.","[""Why break shapes apart?"",""How did Picasso’s styles evolve?""]","Picasso lived from 1881–1973.\nHe painted in many styles, including Cubism and Surrealism.","picasso, cubism, modern art"
"Guernica","Arts & Culture","Beginner","A powerful anti-war painting by Pablo Picasso.","[""Why does art protest war?"",""How does Guernica convey suffering?""]","Painted in 1937, Guernica depicts the bombing of a Spanish town.\nIt remains a symbol of peace and protest.","guernica, picasso, anti-war"
"Jazz Music","Arts & Culture","Beginner","An American music genre known for improvisation and rhythm.","[""Why is jazz called freedom music?"",""How did it spread worldwide?""]","Originating in African American communities in the early 1900s.\nJazz shaped modern music globally.","jazz, music, culture"
"Ludwig van Beethoven","Arts & Culture","Beginner","A German composer who bridged classical and romantic music.","[""How did Beethoven write while deaf?"",""Why is his music so emotional?""]","Beethoven composed nine symphonies and many works.\nHis music remains iconic in Western tradition.","beethoven, music, composer"
"Symphony No. 9","Arts & Culture","Beginner","A famous symphony by Beethoven that includes the 'Ode to Joy'.","[""Why is this symphony inspiring?"",""How did it break traditions?""]","Premiered in 1824, it was groundbreaking for including choir.\nIts 'Ode to Joy' is a global anthem.","beethoven, symphony, music"
"Harlem Renaissance","Arts & Culture","Beginner","A cultural movement celebrating African American art and literature.","[""Why did Harlem become a center of creativity?"",""How did it shape American identity?""]","In the 1920s, Harlem fostered artists, writers, and musicians.\nFigures included Langston Hughes and Duke Ellington.","harlem, renaissance, culture"
"Langston Hughes","Arts & Culture","Beginner","An African American poet and writer central to the Harlem Renaissance.","[""Why did Hughes write about everyday life?"",""How did his poetry inspire change?""]","Hughes wrote poems, plays, and essays.\nHe gave voice to African American experiences.","hughes, poetry, harlem"
"Maya Angelou","Arts & Culture","Beginner","A poet, singer, and activist whose works celebrated identity and resilience.","[""Why is Angelou inspirational?"",""How does art empower people?""]","Her autobiography *I Know Why the Caged Bird Sings* is world-famous.\nHer poetry continues to inspire.","maya angelou, poetry, culture"
"Greek Tragedy","Arts & Culture","Beginner","A form of ancient theater focused on fate, suffering, and moral lessons.","[""Why are tragedies still relevant?"",""What do they reveal about humanity?""]","Greek tragedies by Sophocles and Euripides shaped Western drama.\nThey dealt with timeless human struggles.","greek, tragedy, theater"
"Sophocles","Arts & Culture","Beginner","An ancient Greek playwright known for tragedies like Oedipus Rex.","[""Why is Oedipus still studied?"",""How did Sophocles shape drama?""]","Living in the 5th century BCE, Sophocles wrote over 100 plays.\nHis works examined fate and choice.","sophocles, theater, tragedy"
"The Odyssey","Arts & Culture","Beginner","An ancient Greek epic poem attributed to Homer about Odysseus’ journey home.","[""Why is the Odyssey timeless?"",""How do myths shape identity?""]","Written around 700 BCE, it tells of Odysseus’ struggles after Troy.\nIt influenced Western storytelling.","homer, odyssey, epic"
"Day of the Dead","Arts & Culture","Beginner","A Mexican holiday honoring deceased loved ones with altars and festivals.","[""Why celebrate death joyfully?"",""How does tradition connect families?""]","Día de los Muertos combines indigenous and Catholic practices.\nIt uses offerings, flowers, and food.","mexico, tradition, holiday"
"Diwali","Arts & Culture","Beginner","A Hindu festival of lights celebrating good over evil.","[""Why are lights central to Diwali?"",""How is it celebrated worldwide?""]","Observed in India and beyond, Diwali involves lamps, fireworks, and sweets.\nIt symbolizes victory of light over darkness.","diwali, hindu, festival"
"Chinese New Year","Arts & Culture","Beginner","A major festival marking the lunar new year with traditions and family gatherings.","[""Why is the lunar calendar important?"",""How do traditions vary?""]","Celebrated with dragon dances, red envelopes, and feasts.\nIt is the most important holiday in China.","china, festival, new year"
"Origami","Arts & Culture","Beginner","The Japanese art of paper folding into shapes and figures.","[""Why fold paper into art?"",""How does origami inspire math?""]","Origami began in Japan centuries ago.\nIt blends simplicity, beauty, and creativity.","origami, japan, art"
